Date,Open,High,Low,Close,Hurst
2016/10/12,5247.91,5257.18,5228.77,5239.02,0.519130479
2016/10/13,5200.3,5228.26,5169.76,5213.33,0.521155811
2016/10/14,5241.26,5258.88,5213.37,5214.16,0.520205597
2016/10/17,5213.69,5219.98,5196.03,5199.82,0.524802547
2016/10/18,5255.32,5264.27,5239.44,5243.84,0.515621037
2016/10/19,5240.33,5253.83,5234.25,5246.41,0.50272552
2016/10/20,5238.2,5252.1,5216.05,5241.83,0.517485245
2016/10/21,5238.65,5259.12,5225.76,5257.4,0.528106098
2016/10/24,5290.31,5311.5,5289.23,5309.83,0.520892408
2016/10/25,5306.47,5310.27,5278.57,5283.4,0.512239154
2016/10/26,5256.4,5280.85,5237.05,5250.27,0.501256886
2016/10/27,5272.19,5274.12,5211.75,5215.97,0.510972329
2016/10/28,5203.7,5232.35,5178.76,5190.1,0.511653076
2016/10/31,5205.09,5206.7,5186.56,5189.14,0.500545696
